Company,NSE Symbol,Sector,Industry,Market Cap (Cr),P/E,P/B,EPS Growth 1Y (%),EPS Growth 3Y (%),Profit Growth 1Y (%),Profit Growth 3Y (%),Revenue Growth (%),ROCE (%),ROE (%),ROA (%),OCF_PAT,Net_Debt_EBITDA,Debt/Equity,Current Ratio,Interest Coverage,CMP,50 DMA,200 DMA,1Y Return (%),3Y CAGR (%),5Y CAGR (%),FII Holding Change (%),DII Holding Change (%),Avg Daily Turnover (Cr)
SBFC Finance Ltd.,SBFC,Financial Services,Credit Services,10176.79,21.075687,2.7275157,28.599999999999998,42.82,30.61,44.39,24.6,8.07,,4.07,-4.2,9.3,1.96,1.81,7.36,91.89,92.41,95.89,-19.1,,,,,19.01
Sagility Ltd.,SAGILITY,Information Technology,Health Information Services,20321.65,20.573462,2.0683246,43.8,86.18,71.53,86.03,27.6,12.5,,7.34,1.3,0.41,0.11,1.55,13.49,43.41,41.84,44.52,-5.44,,,,,136.91
Sai Life Sciences Ltd.,SAILIFE,Healthcare,Diagnostics & Research,30507.35,85.52977,12.2320595,20.8,224.54,105.08,226.8,11.700000000000001,18.1,,9.62,1.46,0.31,0.12,1.69,12.88,1436.9,1309.53,1057.9,55.19,,,,,72.3
Sammaan Capital Ltd.,SAMMAANCAP,Financial Services,Mortgage Finance,17217.67,,0.6452099,-50.0,,,,-24.5,-4.26,,-9.62,1.04,-12.63,2.73,27795.48,-0.56,149.89,164.0,154.54,23.03,1.21,,,,274.86
Sapphire Foods India Ltd.,SAPPHIRE,Consumer Services,Restaurants,7956.11,,5.714715,,,,,14.7,3.14,,-0.98,-15.86,2.83,1.02,0.63,0.7,247.27,198.5,202.48,-24.38,-3.72,,,,28.27
Sarda Energy and Minerals Ltd.,SARDAEN,Metals & Mining,Steel,17804.06,15.7546,2.4176376,5.4,22.69,58.02,22.46,-1.5,16.3,,9.73,1.57,1.24,0.35,4.5,6.93,505.25,506.35,518.54,-15.14,37.71,,,,37.6
Saregama India Ltd,SAREGAMA,Media Entertainment & Publication,Entertainment,9730.43,44.07826,5.8488913,41.6,3.67,1.38,3.76,27.500000000000004,15.95,,8.92,0.48,0.13,4.28,1.75,59.08,506.9,499.77,397.39,5.51,8.7,,,,54.39
Schneider Electric Infrastructure Ltd.,SCHNEIDER,Capital Goods,Electrical Equipment & Parts,27205.26,155.86302,35.08588,-69.8,19.8,-20.65,19.79,4.8,24.76,,9.07,1.06,-0.03,0.71,1.73,7.03,1137.8,1351.38,1021.93,32.23,58.85,,,,33.91
Shipping Corporation of India Ltd.,SCI,Services,Marine Shipping,13475.56,8.385507,1.48078,75.0,15.85,60.38,15.84,40.300000000000004,14.3,,10.16,0.99,0.96,0.29,0.65,9.2,289.3,293.94,264.97,41.24,45.38,,,,179.27
Shyam Metalics and Energy Ltd.,SHYAMMETL,Capital Goods,Steel,27877.19,24.743082,2.4764555,20.7,5.05,17.85,7.87,23.5,12.43,,5.33,1.89,0.37,0.08,1.0,12.53,1001.6,991.16,883.02,6.0,36.38,,,,32.28
Signatureglobal (India) Ltd.,SIGNATURE,Realty,Real Estate - Development,11145.85,10.677224,6.0190396,,,982.9,,-36.199999999999996,36.34,,6.34,0.11,0.47,1.61,1.16,22.74,792.25,795.87,903.06,-28.16,,,,,38.37
Sobha Ltd.,SOBHA,Realty,Real Estate - Development,13701.85,59.255314,2.9029744,274.0,19.13,104.26,22.89,50.0,7.38,,0.99,2.22,1.89,0.25,1.14,3.03,1281.1,1392.0,1413.88,-14.56,29.83,,,,25.14
Sona BLW Precision Forgings Ltd.,SONACOMS,Automobile and Auto Components,Auto Parts,50216.96,71.86607,8.365901,44.3,15.12,6.48,17.43,52.400000000000006,13.17,,8.58,1.03,0.25,0.07,3.4,47.81,804.9,712.44,570.98,82.96,13.67,,,,135.83
Sonata Software Ltd.,SONATSOFTW,Information Technology,Information Technology Services,8366.11,17.916418,4.3925304,-0.8,0.91,9.35,0.91,10.6,27.65,,9.12,1.16,0.45,0.38,1.05,12.94,302.25,300.14,294.27,-16.86,-15.04,,,,54.62
Star Health and Allied Insurance Company Ltd.,STARHEALTH,Financial Services,Insurance - Life,34374.53,51.516754,3.3895748,109.60000000000001,-3.1,-13.76,-3.44,1407.8,,7.507,2.53,,,0.06,,12.78,584.2,583.45,506.18,32.71,-2.89,,,,34.18
Sumitomo Chemical India Ltd.,SUMICHEM,Chemicals,Agricultural Inputs,26120.3,46.06514,7.7059007,20.4,2.65,7.41,2.63,0.6,20.95,,12.14,0.82,-0.01,1.86,3.44,110.38,523.3,505.77,454.3,-12.29,8.73,,,,23.62
Sun TV Network Ltd.,SUNTV,Media Entertainment & Publication,Broadcasting,18468.78,12.147485,1.457671,17.0,-5.49,-15.42,-5.51,13.0,15.31,,10.4,1.25,-0.05,0.84,7.8,140.41,468.65,493.93,542.15,-16.3,-1.69,,,,21.65
Supreme Petrochem Ltd.,SPLPETRO,Chemicals,Specialty Chemicals,13067.93,26.98835,5.498805,193.5,-12.89,-15.69,-12.89,23.7,18.13,,9.43,0.75,-0.29,0.06,2.01,31.77,694.95,718.58,672.49,-14.51,16.94,,,,12.27
Swan Corp Ltd.,SWANCORP,Chemicals,Conglomerates,9402.14,42.5461,1.3333601,,,-63.71,,-16.400000000000002,4.07,,1.98,-0.05,2.52,0.25,1.91,5.49,299.95,313.08,368.94,-34.93,7.14,,,,48.25
Syngene International Ltd.,SYNGENE,Healthcare,Diagnostics & Research,16251.07,73.40909,3.353266,,-11.9,-36.17,-11.98,-15.8,8.28,,4.49,2.89,0.25,0.09,1.38,10.17,403.75,417.51,487.24,-39.37,-20.57,,,,61.26
Syrma SGS Technology Ltd.,SYRMA,Capital Goods,Electronic Components,28001.89,74.32004,9.715752,86.0,35.83,87.07,38.6,68.30000000000001,14.68,,5.51,0.91,0.36,0.13,1.7,11.25,1453.7,1402.64,1002.1,95.44,45.67,,,,147.38
TBO Tek Ltd.,TBOTEK,Consumer Services,Travel Services,18348.69,69.5668,11.849855,32.300000000000004,19.65,6.27,19.19,81.10000000000001,14.99,,2.62,-0.09,-0.62,0.49,1.08,7.73,1718.3,1537.08,1425.03,19.11,,,,,34.49
Tata Chemicals Ltd.,TATACHEM,Chemicals,Chemicals,15973.22,,0.7532409,,,,,14.399999999999999,-2.96,,-4.86,-0.67,30.98,0.36,1.07,-1.89,627.0,689.23,716.63,-32.13,-14.36,,,,63.88
Tata Technologies Ltd.,TATATECH,Information Technology,Information Technology Services,32145.09,59.433186,8.191743,6.2,-4.33,-19.26,-4.32,33.800000000000004,15.47,,6.1,1.42,0.27,0.24,1.53,23.41,791.65,763.49,658.78,17.58,,,,,83.88
Tata Teleservices (Maharashtra) Ltd.,TTML,Telecommunication,Telecom Services,7379.85,198.68422,-0.3692979,,,,,6.1,-6.8,,-16.05,-3.1,14.7,-0.95,0.01,0.84,37.75,40.56,43.66,-36.06,-21.64,,,,20.54
Techno Electric & Engineering Company Ltd.,TECHNOE,Construction,Engineering & Construction,11520.05,26.464066,2.7702966,-31.5,33.55,12.04,36.36,19.8,12.79,,7.98,-1.24,0.03,1.74,4.06,30.85,990.55,1031.01,1095.81,-35.49,29.51,,,,28.48
Tega Industries Ltd.,TEGA,Capital Goods,Specialty Industrial Machinery,12714.61,451.30667,3.7615159,,19.67,-28.72,-8.14,384.0,6.23,,3.31,2.46,-2.4,0.12,4.72,9.9,1692.4,1656.37,1747.67,-7.79,19.8,,,,33.47
Tejas Networks Ltd.,TEJASNET,Telecommunication,Communication Equipment,8920.9,,3.0443616,,,,,99.1,-29.45,,-9.67,-0.15,-6.06,1.43,1.2,-3.85,502.0,549.36,468.31,-19.18,-15.41,,,,278.22
Tenneco Clean Air India Ltd.,TENNIND,Automobile and Auto Components,Auto Parts,22141.73,38.417366,18.478846,-45.9,16.55,9.33,16.56,20.1,64.33,,23.79,2.37,-0.51,4.29,1.42,25.29,548.6,565.95,,,,,,,111.4
The Ramco Cements Ltd.,RAMCOCEM,Construction Materials,Building Materials,21620.75,33.59031,2.671369,-63.3,29.02,156.24,30.47,9.6,9.57,,4.2,2.31,1.93,0.48,0.54,3.9,915.0,917.4,984.62,-17.68,1.91,,,,25.88
Timken India Ltd.,TIMKEN,Capital Goods,Tools & Accessories,23217.77,54.410366,7.9660883,14.799999999999999,2.02,-10.24,2.02,16.6,18.52,,11.21,1.07,-0.38,0.5,2.97,148.92,3086.7,3307.32,3276.55,4.45,-3.3,,,,19.43
Titagarh Rail Systems Ltd.,TITAGARH,Capital Goods,Railroads,11232.46,57.639942,4.6162233,67.0,,39.62,-1.88,12.6,9.29,,3.04,2.62,1.47,0.25,1.81,3.72,834.05,856.91,796.64,-2.77,8.72,,,,88.53
Transformers And Rectifiers (India) Ltd.,TARIL,Capital Goods,Electrical Equipment & Parts,9179.07,35.028637,5.928654,-8.5,79.01,23.39,86.5,8.1,25.34,,9.92,-0.4,1.01,0.3,1.82,8.11,305.8,317.64,297.49,-38.71,88.63,,,,140.49
Travel Food Services Ltd.,TRAVELFOOD,Consumer Services,Restaurants,17156.52,36.11142,11.896566,38.1,315.3,21.44,21.84,20.599999999999998,41.8,,19.34,0.89,0.24,0.17,1.91,10.32,1302.9,1327.55,1242.94,5.77,,,,,11.94
Trident Ltd.,TRIDENT,Textiles,Textile Manufacturing,12423.03,31.25641,2.6052575,14.799999999999999,-5.61,1.95,-5.06,4.7,10.67,,5.0,2.02,1.89,0.38,1.57,5.58,24.38,25.3,25.39,-12.65,-7.18,,,,18.8
Triveni Turbine Ltd.,TRITURBINE,Capital Goods,Specialty Industrial Machinery,18037.56,53.477856,12.456368,-21.2,22.58,-2.09,22.0,19.2,31.9,,14.01,0.32,-0.13,2.48,1.98,187.42,567.4,628.22,559.82,7.14,13.56,,,,73.59
UCO Bank,UCOBANK,Financial Services,Banks - Regional,32653.01,11.471366,0.96583956,8.3,13.04,13.21,14.86,53.0,,8.541001,0.73,-3.82,,0.55,,,26.04,26.5,27.1,-8.42,-0.23,,,,22.81
UTI Asset Management Company Ltd.,UTIAMC,Financial Services,Asset Management,11434.83,24.84222,2.5380883,24.0,-3.02,-44.75,-2.6,6.7,14.17,,8.01,1.01,0.15,3.13,8.24,45.36,889.6,915.63,973.89,-32.78,8.61,,,,16.49
Urban Company Ltd.,URBANCO,Consumer Services,Software - Application,24956.61,,12.192806,,,,,43.6,-7.16,,-8.69,0.42,-0.14,0.06,4.51,-13.55,169.48,137.17,129.69,,,,,,142.48
Usha Martin Ltd.,USHAMART,Capital Goods,Steel,14904.96,28.02805,4.519068,40.8,9.93,14.38,9.99,16.400000000000002,18.7,,11.06,1.41,-0.02,0.07,3.28,36.57,489.65,494.84,451.93,34.0,14.71,,,,32.22
Vardhman Textiles Ltd.,VTL,Textiles,Textile Manufacturing,17542.23,20.349228,1.6404449,49.2,-2.16,-15.63,-2.14,13.3,8.6,,5.37,1.49,1.2,0.18,4.15,11.33,606.0,623.48,540.22,45.49,21.52,,,,30.77
Vijaya Diagnostic Centre Ltd.,VIJAYA,Healthcare,Diagnostics & Research,14976.9,81.053505,15.625236,37.3,26.67,20.3,26.9,22.8,19.22,,11.48,1.56,1.07,0.44,2.6,8.0,1454.1,1382.03,1136.9,42.52,46.97,,,,24.73
Welspun Corp Ltd.,WELCORP,Capital Goods,Steel,62832.74,26.094624,6.865047,198.3,97.92,-15.46,98.32,14.899999999999999,19.46,,7.89,1.99,0.31,0.25,1.33,11.46,2382.7,1684.77,1139.0,168.73,95.58,,,,110.87
Welspun Living Ltd.,WELSPUNLIV,Textiles,Textile Manufacturing,18034.95,65.37113,3.7104292,83.7,3.3,-68.01,0.93,23.7,6.25,,1.96,5.75,2.58,0.47,1.58,2.78,190.23,166.27,139.86,60.38,18.91,,,,59.85
Whirlpool of India Ltd.,WHIRLPOOL,Consumer Durables,"Furnishings, Fixtures & Appliances",9711.94,38.744305,2.3338447,-29.4,10.28,-18.18,10.28,12.1,9.0,,3.98,1.01,-0.39,0.09,2.03,9.85,765.2,791.79,879.36,-41.63,-19.15,,,,46.72
Wockhardt Ltd.,WOCKPHARMA,Healthcare,Drug Manufacturers - Specialty & Generic,30961.26,75.37183,6.2588077,,,,,25.900000000000002,6.38,,2.47,1.83,3.0,0.42,1.66,2.14,1905.4,1918.21,1558.73,28.8,94.34,,,,196.67
ZF Commercial Vehicle Control Systems India Ltd.,ZFCVINDIA,Automobile and Auto Components,Auto Parts,29616.74,2.8949006,8.024965,46.1,17.63,12.25,17.63,32.7,18.54,,11.69,1.57,-0.16,0.01,5.3,130.75,2602.4,2495.35,2421.2,7.15,6.02,,,,31.85
Zee Entertainment Enterprises Ltd.,ZEEL,Media Entertainment & Publication,Broadcasting,10127.72,51.434147,0.85228837,-47.3,77.98,-59.81,78.75,4.5,2.64,,1.92,2.59,-0.99,2.26,5.58,7.11,105.44,104.72,93.42,-12.89,-22.8,,,,181.58
Zen Technologies Ltd.,ZENTEC,Capital Goods,Aerospace & Defense,16803.89,93.275085,9.348932,-27.900000000000002,60.53,-30.97,65.4,-10.5,15.37,,8.96,1.26,-0.19,0.95,8.86,35.98,1868.3,1802.6,1539.73,31.49,45.08,,,,95.07
Zensar Technolgies Ltd.,ZENSARTECH,Information Technology,Information Technology Services,10724.21,14.203965,2.2714717,0.8999999999999999,32.74,19.21,33.21,8.9,20.92,,12.73,1.0,-0.3,1.68,3.52,100.19,472.85,482.71,566.59,-38.67,0.79,,,,78.81
Zydus Wellness Ltd.,ZYDUSWELL,Fast Moving Consumer Goods,Packaged Foods,16685.94,88.291245,2.864047,-7.000000000000001,-14.02,-43.15,-14.03,66.9,3.4,,1.91,1.15,6.55,0.55,1.88,3.43,524.45,546.76,474.14,31.19,22.68,,,,49.58
eClerx Services Ltd.,ECLERX,Services,Information Technology Services,17062.41,24.026176,6.6962814,18.8,15.28,30.52,13.04,23.3,32.68,,19.1,1.24,-0.27,0.15,3.4,23.19,1854.1,1690.78,1820.55,-7.19,29.72,,,,57.69
